domain_name,unlocked,creative_count,bare_kind,best_url,screenshot_s3,unlocked_params
nug1frewkdo.com,True,4,mixed,https://nug1frewkdo.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/nug1frewkdo.com/dd316d70-64dd-40ef-b48b-fb87f9a90075/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
nurerecdecw.com,False,0,unknown,https://nurerecdecw.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/nurerecdecw.com/66b8add3-718c-4950-8b67-2f0cf631a49b/screenshot/full.png,
ornvueisdmccd.com,True,3,mixed,https://ornvueisdmccd.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/ornvueisdmccd.com/c41fedd0-87a7-4684-aac3-c3be9bb7a1ff/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
pepperfry.com,True,14,scam,https://pepperfry.com/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/pepperfry.com/3fc4d10b-0b6e-4db8-b930-4ba9eb67c948/screenshot/variant-ad_name-ind37.png,ad_name=ind37|pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=ajtan_Haq|pEl8X=origtupcls|adset_name=ind37|pEl8X=MI1_HT2|pEl8X=tupmz4el|pEl8X=MI2_HT2|pEl8X=tups111|pEl8X=MI2_Haq|pEl8X=tup5min|pEl8X=tupscdn|pEl8X=szvnknir
plussizekurti.com,False,0,scam,https://plussizekurti.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/plussizekurti.com/94e31588-56e0-4836-88c1-9b91d5b3cbdb/screenshot/full.png,
pmociewamiqsx.com,True,4,mixed,https://pmociewamiqsx.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/pmociewamiqsx.com/efde22b7-c9c0-4bb0-acc6-ed4b7e26bb58/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
pofmrecodwsx.com,True,3,mixed,https://pofmrecodwsx.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/pofmrecodwsx.com/3346f2e3-e922-4901-858c-b5ea5802b3aa/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
porasobiratmusli.com,True,1,scam,https://porasobiratmusli.com/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/porasobiratmusli.com/556a3eaa-913f-4678-bd7e-6c97555bc522/screenshot/variant-ad_name-ind37.png,ad_name=ind37
pporeiovdnscml.com,True,4,mixed,https://pporeiovdnscml.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/pporeiovdnscml.com/b6dc00b8-bc2d-42a1-a271-a8a6934e214a/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
pressora1.com,False,0,scam,https://pressora1.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/pressora1.com/1da891f6-3ae4-4d77-86d7-c90a2c8f1eb8/screenshot/full.png,
qqpalacewap.com,False,0,unknown,https://qqpalacewap.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/qqpalacewap.com/bda46b26-b575-4a31-8915-ba90e5f2e593/screenshot/full.png,
quietmeadowhome.com,True,2,unknown,https://quietmeadowhome.com/?pEl8X=tupkapday,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/quietmeadowhome.com/dcab0926-45d1-4c2b-a361-55cca997ae16/screenshot/variant-pEl8X-tupkapday.png,pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=origtupcls|pEl8X=tupmz4el|pEl8X=tupscdn|pEl8X=szvnknir
quietriverstone.com,True,3,unknown,https://quietriverstone.com/?pEl8X=tupkapday,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/quietriverstone.com/c0fee318-f1b0-4e08-9e8d-ce839a8ff8ed/screenshot/variant-pEl8X-tupkapday.png,pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=origtupcls|pEl8X=tupmz4el|pEl8X=tupscdn|pEl8X=szvnknir
reinvcdsmlx.com,True,3,mixed,https://reinvcdsmlx.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/reinvcdsmlx.com/f685a738-1061-4fcb-a85b-a9d32298185f/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
rvbhjdecs.com,True,3,mixed,https://rvbhjdecs.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/rvbhjdecs.com/4afbf728-1db9-4739-a688-6bb19fdbc330/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
rvbiedsnksa.com,False,0,unknown,https://rvbiedsnksa.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/rvbiedsnksa.com/0fbecd6f-e1a2-469b-bf2d-c954e4171f13/screenshot/full.png,
rvn4oiuedcsm.com,True,2,mixed,https://rvn4oiuedcsm.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/rvn4oiuedcsm.com/ae602f02-d4ec-40b0-bce0-8c6f1320548e/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
salvandoadictos.com,False,0,unknown,https://salvandoadictos.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/salvandoadictos.com/b7e6cd25-d679-48fd-b279-231091b1d555/screenshot/full.png,
sesminds.com,True,1,unknown,https://sesminds.com/?pEl8X=tupkapday,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/sesminds.com/cc5a38a3-55d2-4d08-b477-500ac21e35e1/screenshot/variant-pEl8X-tupkapday.png,pEl8X=tupkapday|pEl8X=tupmz4el|pEl8X=szvnknir
smartdealsearch.com,False,0,scam,https://smartdealsearch.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/smartdealsearch.com/f1dd4ffc-786b-433c-bed1-82fc1cd762f4/screenshot/full.png,
thebookreviewindia.org,False,0,scam,https://thebookreviewindia.org/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/thebookreviewindia.org/a5023efb-5034-49e8-91f3-f39b5625c76a/screenshot/full.png,
